OaSurgeryCostCode,CostCodeandName,_2023_08_01,_2023_09_01,_2023_10_01,_2023_11_01,_2023_12_01,_2024_01_01,_2024_02_01,_2024_03_01,_2024_04_01,_2024_05_01,_2024_06_01,_2024_07_01,_2024_08_01,_2024_09_01,_2024_10_01,_2024_11_01,_2024_12_01,_2025_01_01,_2025_02_01,_2025_03_01,_2025_04_01,_2025_05_01,_2025_06_01,_2025_07_01
8024,8024 Djurkliniken Mölndal,1.0,0.5882352941176471,1.0,0.8333333333333334,1.0,0.8181818181818182,0.7391304347826086,0.8421052631578947,0.7142857142857143,0.8095238095238095,0.6923076923076923,0.7894736842105263,0.9230769230769231,0.85,0.631578947368421,0.7999999999999999,0.7999999999999999,0.6875,0.8333333333333333,0.7857142857142857,0.6842105263157894,0.6818181818181819,0.9047619047619048,1.0
8026,8026 Djursjukhuset Göteborg,0.8896103896103896,0.8629032258064516,0.8244274809160306,0.9126984126984128,0.9176470588235294,0.9223300970873787,0.8739495798319328,0.8809523809523809,0.8301886792452831,0.8495575221238938,0.8736842105263158,0.8468468468468469,0.8774193548387097,0.8247422680412371,0.875,0.8130841121495327,0.8488372093023255,0.9444444444444444,0.8809523809523809,0.7916666666666666,0.8387096774193549,0.7972972972972974,0.8589743589743589,0.6875
8027,8027 Djursjukhuset Norra Halland,0.7777777777777778,0.9014084507042254,0.835820895522388,0.7818181818181819,0.7692307692307693,0.6842105263157894,0.703125,0.8356164383561644,0.8679245283018868,0.75,0.5789473684210527,0.7826086956521738,0.7887323943661971,0.9344262295081968,0.8676470588235294,0.7377049180327869,0.625,0.7755102040816326,0.8888888888888888,0.7916666666666666,0.6888888888888889,0.7647058823529412,0.5652173913043478,0.92
8028,8028 Djurkliniken Kristianstad,0.8627450980392157,0.8444444444444444,0.7872340425531915,0.8571428571428572,0.9166666666666666,0.8571428571428572,0.8157894736842106,0.8863636363636364,0.8604651162790697,0.7777777777777778,0.7777777777777778,0.7884615384615384,0.9069767441860465,0.9142857142857143,0.8205128205128205,0.8709677419354839,0.8333333333333333,0.8974358974358975,0.8400000000000001,0.8,0.8235294117647058,0.7027027027027027,0.9473684210526315,0.5
8029,8029 Djurkliniken Åhus,0.8918918918918919,0.8823529411764706,0.8461538461538463,0.7999999999999999,0.5,0.75,0.8333333333333333,0.8076923076923077,0.6,0.6842105263157895,0.9285714285714286,0.7692307692307693,0.9333333333333333,0.9166666666666666,1.0,1.0,1.0,1.0,0.8333333333333334,0.7777777777777777,0.8888888888888888,0.8,0.625,1.0
8030,8030 Djursjukhuset Växjö,0.7532467532467533,0.7903225806451613,0.8064516129032259,0.8727272727272727,0.7799999999999999,0.7543859649122806,0.7619047619047619,0.676470588235294,0.7000000000000001,0.7843137254901961,0.6964285714285714,0.8999999999999999,0.6578947368421052,0.723404255319149,0.6666666666666666,0.7538461538461538,0.675,0.7049180327868853,0.8571428571428571,0.6981132075471699,0.775,0.6603773584905661,0.5,0.8461538461538461
8031,8031 Specialistdjursjukhuset Helsingborg,0.7272727272727273,0.8169014084507041,0.7535211267605634,0.689922480620155,0.7735849056603774,0.7894736842105263,0.7272727272727273,0.8734177215189873,0.7070707070707071,0.6494845360824743,0.6629213483146068,0.5820895522388059,0.6122448979591837,0.7627118644067796,0.8108108108108107,0.696969696969697,0.671875,0.72,0.6323529411764706,0.8387096774193549,0.6142857142857143,0.7971014492753623,0.5,0.5238095238095238
8032,8032 Djurkliniken Höllviken,0.5,0.75,0.8181818181818181,0.6153846153846154,0.625,1.0,0.3333333333333333,0.5,0.5882352941176471,0.5555555555555556,1.0,0.4285714285714286,0.8461538461538463,0.8,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.3333333333333333,0.25,1.0
8033,8033 Djurkliniken Trelleborg,0.7692307692307692,0.5,0.7272727272727273,0.75,0.7777777777777777,0.6153846153846154,1.0,0.736842105263158,0.7142857142857142,0.7142857142857142,0.7,0.6923076923076923,1.0,0.5,-0.25,0.5,1.0,0.5,0.6666666666666666,0.6,0.5,1.0,0.6666666666666667,1.0
8034,8034 Djurkliniken Ystad,0.0,0.6666666666666667,0.8571428571428571,0.6000000000000001,0.9090909090909091,0.6666666666666667,0.75,0.6923076923076923,0.5714285714285714,0.8571428571428571,0.6666666666666666,0.375,0.41666666666666674,0.7272727272727273,0.6923076923076923,0.9090909090909091,1.0,0.39999999999999997,0.7777777777777777,1.0,0.625,1.0,1.0,1.0
