CountryKey,FiscalYearKey,CompanyKey,CostCodeKey,CountryCode,CCC,COMPANY_CODE,COST_CODE,COUNTRY,BRAND,BRAND_DESCRIPTION,BUSINESS_AREA,BUSINESS_AREA2,COUNTRY_REPORTING,REPORTING_ENTITY,FTE_TYPE,BALANCE_TYPE,FISCAL_YEAR,10,11,12,1,2,3,4,5,6,7,8,9
14,2018,490,1457,SE,56008002,5600,8002,Sweden,Djurkliniken Arninge,Djurkliniken Arninge,Vets,Small animal,Sweden,Sweden,Vet FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1458,SE,56008003,5600,8003,Sweden,Djurkliniken Farsta,Djurkliniken Farsta,Vets,Small animal,Sweden,Sweden,Head Office FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1458,SE,56008003,5600,8003,Sweden,Djurkliniken Farsta,Djurkliniken Farsta,Vets,Small animal,Sweden,Sweden,Locum Nurse FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1458,SE,56008003,5600,8003,Sweden,Djurkliniken Farsta,Djurkliniken Farsta,Vets,Small animal,Sweden,Sweden,Locum Vet FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1458,SE,56008003,5600,8003,Sweden,Djurkliniken Farsta,Djurkliniken Farsta,Vets,Small animal,Sweden,Sweden,Nurse FTE,AQ,2018,0.000,0.000,0.000,0.000,0.000,0.000,5.700,5.200,6.400,7.000,5.300,5.300
14,2018,490,1458,SE,56008003,5600,8003,Sweden,Djurkliniken Farsta,Djurkliniken Farsta,Vets,Small animal,Sweden,Sweden,Nurse FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1458,SE,56008003,5600,8003,Sweden,Djurkliniken Farsta,Djurkliniken Farsta,Vets,Small animal,Sweden,Sweden,Support FTE,AQ,2018,0.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,2.000,1.000,0.100,2.000
14,2018,490,1458,SE,56008003,5600,8003,Sweden,Djurkliniken Farsta,Djurkliniken Farsta,Vets,Small animal,Sweden,Sweden,Support FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1458,SE,56008003,5600,8003,Sweden,Djurkliniken Farsta,Djurkliniken Farsta,Vets,Small animal,Sweden,Sweden,Vet FTE,AQ,2018,0.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,2.000,3.100,3.900,2.000
14,2018,490,1458,SE,56008003,5600,8003,Sweden,Djurkliniken Farsta,Djurkliniken Farsta,Vets,Small animal,Sweden,Sweden,Vet FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1459,SE,56008004,5600,8004,Sweden,Djurkliniken Gefle,Djurkliniken Gefle,Vets,Small animal,Sweden,Sweden,Head Office FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1459,SE,56008004,5600,8004,Sweden,Djurkliniken Gefle,Djurkliniken Gefle,Vets,Small animal,Sweden,Sweden,Locum Nurse FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1459,SE,56008004,5600,8004,Sweden,Djurkliniken Gefle,Djurkliniken Gefle,Vets,Small animal,Sweden,Sweden,Locum Vet FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1459,SE,56008004,5600,8004,Sweden,Djurkliniken Gefle,Djurkliniken Gefle,Vets,Small animal,Sweden,Sweden,Nurse FTE,AQ,2018,0.000,0.000,0.000,0.000,0.000,0.000,13.700,12.700,14.400,10.900,9.700,14.900
14,2018,490,1459,SE,56008004,5600,8004,Sweden,Djurkliniken Gefle,Djurkliniken Gefle,Vets,Small animal,Sweden,Sweden,Nurse FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1459,SE,56008004,5600,8004,Sweden,Djurkliniken Gefle,Djurkliniken Gefle,Vets,Small animal,Sweden,Sweden,Support FTE,AQ,2018,0.000,0.000,0.000,0.000,0.000,0.000,5.000,5.000,5.000,7.900,5.900,4.000
14,2018,490,1459,SE,56008004,5600,8004,Sweden,Djurkliniken Gefle,Djurkliniken Gefle,Vets,Small animal,Sweden,Sweden,Support FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1459,SE,56008004,5600,8004,Sweden,Djurkliniken Gefle,Djurkliniken Gefle,Vets,Small animal,Sweden,Sweden,Vet FTE,AQ,2018,0.000,0.000,0.000,0.000,0.000,0.000,6.700,6.800,6.900,9.600,8.800,5.500
14,2018,490,1459,SE,56008004,5600,8004,Sweden,Djurkliniken Gefle,Djurkliniken Gefle,Vets,Small animal,Sweden,Sweden,Vet FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1460,SE,56008005,5600,8005,Sweden,Djurkliniken Nacka,Djurkliniken Nacka,Vets,Small animal,Sweden,Sweden,Head Office FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1460,SE,56008005,5600,8005,Sweden,Djurkliniken Nacka,Djurkliniken Nacka,Vets,Small animal,Sweden,Sweden,Locum Nurse FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1460,SE,56008005,5600,8005,Sweden,Djurkliniken Nacka,Djurkliniken Nacka,Vets,Small animal,Sweden,Sweden,Locum Vet FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1460,SE,56008005,5600,8005,Sweden,Djurkliniken Nacka,Djurkliniken Nacka,Vets,Small animal,Sweden,Sweden,Nurse FTE,AQ,2018,0.000,0.000,0.000,0.000,0.000,0.000,9.700,10.400,12.500,9.100,9.200,12.400
14,2018,490,1460,SE,56008005,5600,8005,Sweden,Djurkliniken Nacka,Djurkliniken Nacka,Vets,Small animal,Sweden,Sweden,Nurse FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1460,SE,56008005,5600,8005,Sweden,Djurkliniken Nacka,Djurkliniken Nacka,Vets,Small animal,Sweden,Sweden,Support FTE,AQ,2018,0.000,0.000,0.000,0.000,0.000,0.000,3.300,3.300,3.300,4.700,4.700,3.300
14,2018,490,1460,SE,56008005,5600,8005,Sweden,Djurkliniken Nacka,Djurkliniken Nacka,Vets,Small animal,Sweden,Sweden,Support FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1460,SE,56008005,5600,8005,Sweden,Djurkliniken Nacka,Djurkliniken Nacka,Vets,Small animal,Sweden,Sweden,Vet FTE,AQ,2018,0.000,0.000,0.000,0.000,0.000,0.000,6.200,6.200,6.200,9.400,8.400,6.700
14,2018,490,1460,SE,56008005,5600,8005,Sweden,Djurkliniken Nacka,Djurkliniken Nacka,Vets,Small animal,Sweden,Sweden,Vet FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1461,SE,56008006,5600,8006,Sweden,Djurkliniken Nyköping,Djurkliniken Nyköpin,Vets,Small animal,Sweden,Sweden,Head Office FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1461,SE,56008006,5600,8006,Sweden,Djurkliniken Nyköping,Djurkliniken Nyköpin,Vets,Small animal,Sweden,Sweden,Locum Nurse FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1461,SE,56008006,5600,8006,Sweden,Djurkliniken Nyköping,Djurkliniken Nyköpin,Vets,Small animal,Sweden,Sweden,Locum Vet FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1461,SE,56008006,5600,8006,Sweden,Djurkliniken Nyköping,Djurkliniken Nyköpin,Vets,Small animal,Sweden,Sweden,Nurse FTE,AQ,2018,0.000,0.000,0.000,0.000,0.000,0.000,4.700,4.600,5.900,8.100,7.500,5.400
14,2018,490,1461,SE,56008006,5600,8006,Sweden,Djurkliniken Nyköping,Djurkliniken Nyköpin,Vets,Small animal,Sweden,Sweden,Nurse FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1461,SE,56008006,5600,8006,Sweden,Djurkliniken Nyköping,Djurkliniken Nyköpin,Vets,Small animal,Sweden,Sweden,Support FTE,AQ,2018,0.000,0.000,0.000,0.000,0.000,0.000,3.000,3.000,3.000,0.600,0.600,3.000
14,2018,490,1461,SE,56008006,5600,8006,Sweden,Djurkliniken Nyköping,Djurkliniken Nyköpin,Vets,Small animal,Sweden,Sweden,Support FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1461,SE,56008006,5600,8006,Sweden,Djurkliniken Nyköping,Djurkliniken Nyköpin,Vets,Small animal,Sweden,Sweden,Vet FTE,AQ,2018,0.000,0.000,0.000,0.000,0.000,0.000,2.500,2.400,1.500,2.600,1.800,1.600
14,2018,490,1461,SE,56008006,5600,8006,Sweden,Djurkliniken Nyköping,Djurkliniken Nyköpin,Vets,Small animal,Sweden,Sweden,Vet FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1462,SE,56008007,5600,8007,Sweden,Djurkliniken Roslagstull,Djurkliniken Roslags,Vets,Small animal,Sweden,Sweden,Head Office FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1462,SE,56008007,5600,8007,Sweden,Djurkliniken Roslagstull,Djurkliniken Roslags,Vets,Small animal,Sweden,Sweden,Locum Nurse FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1462,SE,56008007,5600,8007,Sweden,Djurkliniken Roslagstull,Djurkliniken Roslags,Vets,Small animal,Sweden,Sweden,Locum Vet FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1462,SE,56008007,5600,8007,Sweden,Djurkliniken Roslagstull,Djurkliniken Roslags,Vets,Small animal,Sweden,Sweden,Nurse FTE,AQ,2018,0.000,0.000,0.000,0.000,0.000,0.000,8.400,8.500,9.300,11.200,11.000,8.400
14,2018,490,1462,SE,56008007,5600,8007,Sweden,Djurkliniken Roslagstull,Djurkliniken Roslags,Vets,Small animal,Sweden,Sweden,Nurse FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1462,SE,56008007,5600,8007,Sweden,Djurkliniken Roslagstull,Djurkliniken Roslags,Vets,Small animal,Sweden,Sweden,Support FTE,AQ,2018,0.000,0.000,0.000,0.000,0.000,0.000,2.000,2.200,2.000,1.600,1.600,2.000
14,2018,490,1462,SE,56008007,5600,8007,Sweden,Djurkliniken Roslagstull,Djurkliniken Roslags,Vets,Small animal,Sweden,Sweden,Support FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1462,SE,56008007,5600,8007,Sweden,Djurkliniken Roslagstull,Djurkliniken Roslags,Vets,Small animal,Sweden,Sweden,Vet FTE,AQ,2018,0.000,0.000,0.000,0.000,0.000,0.000,5.800,5.800,5.800,5.100,3.500,5.800
14,2018,490,1462,SE,56008007,5600,8007,Sweden,Djurkliniken Roslagstull,Djurkliniken Roslags,Vets,Small animal,Sweden,Sweden,Vet FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1463,SE,56008008,5600,8008,Sweden,Djurkliniken Sandviken,Djurkliniken Sandvik,Vets,Small animal,Sweden,Sweden,Head Office FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1463,SE,56008008,5600,8008,Sweden,Djurkliniken Sandviken,Djurkliniken Sandvik,Vets,Small animal,Sweden,Sweden,Locum Nurse FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1463,SE,56008008,5600,8008,Sweden,Djurkliniken Sandviken,Djurkliniken Sandvik,Vets,Small animal,Sweden,Sweden,Locum Vet FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1463,SE,56008008,5600,8008,Sweden,Djurkliniken Sandviken,Djurkliniken Sandvik,Vets,Small animal,Sweden,Sweden,Nurse FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1463,SE,56008008,5600,8008,Sweden,Djurkliniken Sandviken,Djurkliniken Sandvik,Vets,Small animal,Sweden,Sweden,Support FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1463,SE,56008008,5600,8008,Sweden,Djurkliniken Sandviken,Djurkliniken Sandvik,Vets,Small animal,Sweden,Sweden,Vet FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1464,SE,56008009,5600,8009,Sweden,Djurkliniken Åkersberga,Djurkliniken Åkersbe,Vets,Small animal,Sweden,Sweden,Head Office FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1464,SE,56008009,5600,8009,Sweden,Djurkliniken Åkersberga,Djurkliniken Åkersbe,Vets,Small animal,Sweden,Sweden,Locum Nurse FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1464,SE,56008009,5600,8009,Sweden,Djurkliniken Åkersberga,Djurkliniken Åkersbe,Vets,Small animal,Sweden,Sweden,Locum Vet FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1464,SE,56008009,5600,8009,Sweden,Djurkliniken Åkersberga,Djurkliniken Åkersbe,Vets,Small animal,Sweden,Sweden,Nurse FTE,AQ,2018,0.000,0.000,0.000,0.000,0.000,0.000,2.700,2.700,2.700,0.900,0.900,2.700
14,2018,490,1464,SE,56008009,5600,8009,Sweden,Djurkliniken Åkersberga,Djurkliniken Åkersbe,Vets,Small animal,Sweden,Sweden,Nurse FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1464,SE,56008009,5600,8009,Sweden,Djurkliniken Åkersberga,Djurkliniken Åkersbe,Vets,Small animal,Sweden,Sweden,Support FTE,AQ,2018,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
14,2018,490,1464,SE,56008009,5600,8009,Sweden,Djurkliniken Åkersberga,Djurkliniken Åkersbe,Vets,Small animal,Sweden,Sweden,Support FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1464,SE,56008009,5600,8009,Sweden,Djurkliniken Åkersberga,Djurkliniken Åkersbe,Vets,Small animal,Sweden,Sweden,Vet FTE,AQ,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.800,1.800,0.000
14,2018,490,1464,SE,56008009,5600,8009,Sweden,Djurkliniken Åkersberga,Djurkliniken Åkersbe,Vets,Small animal,Sweden,Sweden,Vet FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1465,SE,56008010,5600,8010,Sweden,Djursjukhuset Södra,Djursjukhuset Södra,Vets,Small animal,Sweden,Sweden,Head Office FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1465,SE,56008010,5600,8010,Sweden,Djursjukhuset Södra,Djursjukhuset Södra,Vets,Small animal,Sweden,Sweden,Locum Nurse FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1465,SE,56008010,5600,8010,Sweden,Djursjukhuset Södra,Djursjukhuset Södra,Vets,Small animal,Sweden,Sweden,Locum Vet FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1465,SE,56008010,5600,8010,Sweden,Djursjukhuset Södra,Djursjukhuset Södra,Vets,Small animal,Sweden,Sweden,Nurse FTE,AQ,2018,0.000,0.000,0.000,0.000,0.000,0.000,63.700,65.200,69.900,76.900,72.900,68.200
14,2018,490,1465,SE,56008010,5600,8010,Sweden,Djursjukhuset Södra,Djursjukhuset Södra,Vets,Small animal,Sweden,Sweden,Nurse FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
